支持产品类型,厂商（列表没有，需要在TESTLINK加）,执行类型（手动1，自动2）,用例优先级（1高，2中，3低）,一级目录（不能为空，列表没有，需要在TESTLINK加）,二级目录（不能为空，列表没有，需要在TESTLINK加）,用例名（不能重）,摘要,前提条件,步骤,期望结果,,,,,,,,,
All,All,1,1,启动注册,注册,systemui进程首次注册,首次向服务器发送请求-生成uid-systemui进程,开启wifi/grps,"1、cmd命令“adb shell kill -9 pid”杀掉systemui进程，等待systemui进程重启；
2、通过key:uid关键字查看systemui进程在服务器端注册log中的uid信息；
3、通过jabber:iq:reg 关键字查看注册包","2、启动systemui进程，通过key:uid关键字可以查到systemui进程在服务器端注册log中的uid信息；
3.通过jabber:iq:reg 关键字可以查看注册包内容",,,,,,,,,只有systemui进程有联网权限才可实现此功能
All,All,1,1,启动注册,注册,systemui进程清缓存重新注册,,开启wifi/grps,"1、保持上面第15行用例的基础上；
2、查询到uid后，清空应用程序缓存（adb shell pm clear com.android.systemui）；
4、等待systemui进程重新启动；
5、通过key:uid关键字查看systemui进程在服务器端注册log中的uid信息。","清空应用程序缓存后systemui进程再次向服务器发送请求，重新生成新的uid（第2步与第4步uid不同）。
",,,,,,,,,
All,All,1,1,启动注册,注册,"同用户触发push主进程不重复注册
","同一用户不重复注册，只有一个uid-主进程
",开启wifi/grps,"1、未启动主进程的情况下，通过以上自激活方式激活进程或者通过启动杂志/主题进行激活；
2、通过request_push关键字查询客户端是否向服务器端发送push请求；
3、通过key:uid查询到uid后，调整手机系统时间，向后调整6小时；
4、通过切换网络来触发push；
5、再次通过key:uid关键字来查看主进程在服务器端注册log中的uid信息。",到达push时间间隔后再次向服务器发送请求，uid不会变。,,,,,,,,,
All,All,1,1,启动注册,注册,"同用户重启主进程不重复注册
","同一用户不重复注册，只有一个uid-主进程
",开启wifi/grps,"1、未启动主进程的情况下，通过以上自激活方式激活进程或者通过启动杂志/主题进行激活；
2、通过request_push关键字查询客户端是否向服务器端发送push请求；
3、通过key:uid查询到uid后，向后调整一天时间，重启手机；
4、再次通过key:uid关键字来查看主进程在服务器端注册log中的uid信息。",重启手机后再次向服务器发送请求，uid不会变。,,,,,,,,,
All,All,1,1,启动注册,注册,"同用户主进程重启不重复注册
","同一用户不重复注册，只有一个uid-主进程
",开启wifi/grps,"1、未启动主进程的情况下，通过以上自激活方式激活进程或者通过启动杂志/主题进行激活；
2、通过request_push关键字查询客户端是否向服务器端发送push请求；
3、通过key:uid查询到uid后，查询到uid后，杀掉进程；
4、再次通过以上自激活方式激活进程或者通过启动杂志/主题进行激活
4、再次通过key:uid关键字来查看主进程在服务器端注册log中的uid信息。",进程重启后再次向服务器发送请求，uid不会变。,,,,,,,,,
All,All,1,1,启动注册,注册,同用户触发push systemui进不重复注册,"同一用户不重复注册，只有一个uid-systemui进程
",开启wifi/grps,"1、cmd命令“adb shell kill -9 pid”杀掉systemui进程，等待systemui进程重启；
2、通过request_push关键字查询客户端是否向服务器端发送push请求；
3、查询到uid后，向后调整时间1天，切换网络；
4、再次通过key:uid关键字来查看systemui进程在服务器端注册log中的uid信息。",到达push时间间隔后再次向服务器发送请求，systemui进程的uid都不会变。,,,,,,,,,
All,All,1,1,启动注册,注册,同用户重启systemui进程不重复注册1,,开启wifi/grps,"1、继续第20行用例；
2、通过request_push关键字查询客户端是否向服务器端发送push请求；
3、查询到uid后，向后调整时间1天，重启手机；
4、再次通过key:uid关键字来查看systemui进程在服务器端注册log中的uid信息。",重启手机后再次向服务器发送请求，systemui进程uid不会变。,,,,,,,,,
All,All,1,1,启动注册,注册,"同用户重启systemui进程不重复注册2
",,开启wifi/grps,"1、继续第21行用例；
2、通过request_push关键字查询客户端是否向服务器端发送push请求；
3、查询到uid后，向后调整时间1天，通过cmd命令“adb shell kill -9 pid”杀掉systemui进程，等待systemui进程重启；
4、再次通过key:uid关键字来查看systemui进程在服务器端注册log中的uid信息。",重启进程后再次向服务器发送请求，systemui进程uid不会变。,,,,,,,,,
All,All,1,1,启动注册,注册,wifi网络环境注册,网络环境-验证WIFI是否可正常注册,,1、WIFI下通过以上自激活方式激活进程或者通过启动杂志/主题进行激活,wifi网络可注册，生成uid,,,,,,,,,
All,All,1,1,启动注册,注册,gprs网络环境注册,网络环境-验证gprs是否可正常注册,,1、蜂窝网下通过以上自激活方式激活进程或者通过启动杂志/主题进行激活,gprs网络可注册，生成uid,,,,,,,,,
All,All,1,1,启动注册,注册,注册失败重试,,,"1、中断网络，任意方式激活活启动应用，造成满足注册条件注册失败的场景
2、恢复网络连接，查看能否正常重新进行注册",网络恢复后能重新注册成功,,,,,,,,,
All,All,1,1,启动注册,注册,登录包uid检查1,登录包内容检查-uid-主进程,开启wifi/grps,"1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查uid",主进程uid不为空,,,,,,,,,
All,All,1,1,启动注册,注册,登录包uid检查2,登录包内容检查-uid-systemui进程,开启wifi/grps,"1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查uid",systemui进程uid不为空,,,,,,,,,
All,All,1,1,启动注册,注册,登录包版本号和渠道号检查,"登录包内容检查-版本号和渠道号
（主进程-systemui进程）",开启wifi/grps,"1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查product soft/promotion","product标签中，属性值能正常记录三位版本号，key值为product信息，如：

<product soft=""6.111"" micro=""4"">android-karbonn-magazine</product>

promotion标签key值与签名工具签署的一致，当签名工具签署的与打包时Manifest中配置不同时，以工具签署id为准，如：
<promotion>2057</promotion>
",,,,,,,,,
All,All,1,1,启动注册,注册,登录包资源id检查1,登录包内容检查-资源id-主题合作(锁屏+壁纸)-主进程,"注：测试该case时，先与对应项目负责人确认该产品与如下哪种形态相符,均不相符的需另外补充预期结果","1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查lockscreen_id
3、检查wallpaper_id
","当前使用id为a的主题时
wallpaper_id和lockscreen_id均记录为a，支持混搭的需另外确认需求
切换为成其他三方引擎（如掌酷）主题或系统默认锁屏时，wallpaper_id和lockscreen_id均为0（注：一定不能是b，这里出过事故，一定小心验证）",,,,,,,,,
All,All,1,1,启动注册,注册,登录包资源id检查2,登录包内容检查-资源id-主题合作(锁屏+壁纸)-systemui进程,"注：测试该case时，先与对应项目负责人确认该产品与如下哪种形态相符,均不相符的需另外补充预期结果","1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查lockscreen_id
3、检查wallpaper_id
","当前使用id为a的主题时
主进程wallpaper_id记录为a，lockscreen_id记录为0，锁屏进程wallpaper_id记录为0，lockscreen_id记录为a，支持混搭的需另外确认需求
切换为成其他三方引擎（如掌酷）主题或系统默认锁屏时，wallpaper_id和lockscreen_id均为0（注：一定不能是b，这里出过事故，一定小心验证）",,,,,,,,,
All,All,1,1,启动注册,注册,登录包资源id检查3,登录包内容检查-资源id-主题合作(锁屏)-主进程,"注：测试该case时，先与对应项目负责人确认该产品与如下哪种形态相符,均不相符的需另外补充预期结果","1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查lockscreen_id
3、检查wallpaper_id
","当前使用id为a的主题时
lockscreen_id记a，wallpaper_id为0，支持混搭的需另外确认需求
切换为成其他三方引擎（如掌酷）主题或系统默认锁屏时，wallpaper_id和lockscreen_id均为0（注：一定不能是b，这里出过事故，一定小心验证）",,,,,,,,,
All,All,1,1,启动注册,注册,登录包资源id检查4,登录包内容检查-资源id-主题合作(锁屏)-systemui进程,"注：测试该case时，先与对应项目负责人确认该产品与如下哪种形态相符,均不相符的需另外补充预期结果","1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查lockscreen_id
3、检查wallpaper_id
","当前使用id为a的主题时
主进程wallpaper_id记录为0，lockscreen_id记录为0，锁屏进程wallpaper_id记录为0，lockscreen_id记录为a，支持混搭的需另外确认需求
切换为成其他三方引擎（如掌酷）主题或系统默认锁屏时，wallpaper_id和lockscreen_id均为0（注：一定不能是b，这里出过事故，一定小心验证）",,,,,,,,,
All,All,1,1,启动注册,注册,登录包资源id检查5,登录包内容检查-资源id-动态壁纸-主进程,"注：测试该case时，先与对应项目负责人确认该产品与如下哪种形态相符,均不相符的需另外补充预期结果",4、检查wallpaper_id,"当前使用id为a的壁纸时
wallpaper_id记录为a，支持混搭的需另外确认需求
切换为成其他三方壁纸时，wallpaper_id为0（注：一定不能是b，这里出过事故，一定小心验证）",,,,,,,,,
All,All,1,1,启动注册,注册,登录包imei检查,"登录包内容检查-imei
（主进程-systemui进程）",,"1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查imei",登录包中imei号与手机imei号一致,,,,,,,,,
All,All,1,1,启动注册,注册,登录包mac检查,"登录包内容检查-mac
（主进程-systemui进程）",,"1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查mac",登录包中mac地址与手机mac地址一致,,,,,,,,,
All,All,1,1,启动注册,注册,登录包android版本检查,"登录包内容检查-android版本
（主进程-systemui进程）",,"1、通过""< iq或jabber:iq:auth""关键字来查客户端发送的登陆包
2、检查android版本",登录包中android版本与手机android版本一致,,,,,,,,,
All,All,1,1,启动注册,注册,session已失效重新登录,"session已失效的情况下触发定期网
（主进程-systemui进程）",,1、距上次发登录包5分钟后，再次触发定期联网(可通过定时器，切网，壁纸可见性，开关屏等方式),1、距上次发登录包5分钟后，再次触发定期联网后会再次发登陆包,,,,,,,,,
All,All,1,1,启动注册,注册,session未失效不再登录,"session未失效的情况下触发定期网
（主进程-systemui进程）",,"1、上次发送完登录包1分钟内，再次触发定期联网(可通过定时器，切网，壁纸可见性，开关屏等方式)
","不会再次发送登录包。
",,,,,,,,,
All,All,1,1,启动注册,注册,"进程重启动触发定期联网登录
","进程重新启动后触发定期联网
（主进程-systemui进程）",,1、上次发送完登录包1分钟内，再次触发定期联网(可通过定时器，切网，壁纸可见性，开关屏等方式)进程重启。 ,可以发送登录包。,,,,,,,,,
All,All,1,1,启动注册,注册,每次登录uid均相同,每次登录uid均相同,,"成功发送一次登录包后，记录uid

再次触发定期联网，查看能否再次发登录包，uid与第一次是否相同
","触发定期联网，可再次发登录包，且uid与第一次相同
",,,,,,,,,
